,name,Persons,Males,Females
13456,Palakkad ,16827,8436,8391
13485,Thrissur ,53535,24392,29143
13514,Kochi ,115773,54538,61235
13543,Alappuzha ,22263,9900,12363
13572,Kollam ,39521,17708,21813
13601,Thiruvananthapuram ,151257,72759,78498
13630,Neyveli ,18507,9716,8791
13659,Avadi ,51647,27742,23905
13688,Ambattur ,97186,52224,44962
13717,Tiruvottiyur ,25781,13493,12288
13746,Madavaram ,18525,10179,8346
13775,Chennai ,879695,487428,392267
13804,Tambaram ,35148,19571,15577
13833,Alandur ,45971,25463,20508
13862,Pallavaram ,50503,27872,22631
13891,Kancheepuram ,18625,10805,7820
13920,Vellore ,15592,8912,6680
13949,Ambur ,7813,5076,2737
13978,Tiruvannamalai ,16502,9655,6847
14007,Salem ,93297,54325,38972
14036,Erode ,19615,11114,8501
14065,Dindigul ,23327,12660,10667
14094,Tiruchirappalli ,123329,67987,55342
14123,Cuddalore ,21572,12022,9550
14152,Nagapattinam ,8469,4900,3569
14181,Kumbakonam ,16862,9458,7404
14210,Thanjavur ,33652,18483,15169
14239,Pudukkottai ,15104,8275,6829
14268,Karaikkudi ,11778,6464,5314
14297,Madurai ,129719,73889,55830
14326,Rajapalayam ,11024,6514,4510
14355,Thoothukkudi ,31795,16516,15279
14384,Tirunelveli ,59397,33536,25861
14413,Nagercoil ,34342,17826,16516
14442,Hosur ,15530,8254,7276
14471,Coimbatore ,168145,87123,81022
14500,Kurichi ,13160,6926,6234
14529,Tiruppur ,33358,18431,14927
14558,Puducherry ,37830,21086,16744
14587,Ozhukarai ,50682,28317,22365
14616,Port Blair ,12420,6717,5703
