ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2016-2017,1-2809440153,JAYAWANT INSTITUTE OF BUSINESS STUDIES,"S. NO. 82/2, PUNE-MUMBAI BYPASS HIGHWAY, VILLAGE: TATHAWADE, TALUK: MULSI, DISTRICT: PUNE",MCA,PG,Western,Maharashtra,PUNE,PUNE,Unaided - Private,N,N,744
2016-2017,1-2809703981,SINHGAD SCHOOL OF BUSINESS STUDIES,"S. NO. 45/15/1/2, 45/15/2 & 45/15/3 AT NARHE, TALUKA HAVELI, PUNE 411041",MANAGEMENT,PG,Western,Maharashtra,PUNE,PUNE,Unaided - Private,N,N,745
2016-2017,1-2809303193,BHAUSAHEB MULIK COLLEGE OF ENGINEERING,"P-73 OSP-73
M.I.D.C. INDUSTRIAL AREA
BUTIBORI NAGPUR - 441122",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,NAGPUR,NAGPUR,Unaided - Private,N,N,746
2016-2017,1-2809303193,BHAUSAHEB MULIK COLLEGE OF ENGINEERING,"P-73 OSP-73
M.I.D.C. INDUSTRIAL AREA
BUTIBORI NAGPUR - 441122",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,NAGPUR,NAGPUR,Unaided - Private,N,N,747
2016-2017,1-2809303193,BHAUSAHEB MULIK COLLEGE OF ENGINEERING,"P-73 OSP-73
M.I.D.C. INDUSTRIAL AREA
BUTIBORI NAGPUR - 441122",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,NAGPUR,NAGPUR,Unaided - Private,N,N,748
2016-2017,1-2811295454,VEL TECH RANGA SANKU ARTS COLLEGE,"NO 42,AVADI - ALAMATHI ROAD ,
AVADI ,CHENNAI - 62",MANAGEMENT,PG,Southern,Tamil Nadu,THIRUVALLUR,"MORAI,AMBATTUR",Unaided - Private,N,N,749
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,DIPLOMA,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,750
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,DIPLOMA,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,751
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,752
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,753
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,754
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,755
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,756
2016-2017,1-2814323542,CAREER POINT TECHNICAL CAMPUS,"IP-1, DHOINDA INDUSTRIAL AREA, RAJSAMAND",MCA,PG,North-West,Rajasthan,RAJSAMAND,DHOINDA,Unaided - Private,N,N,757
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,758
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,759
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,760
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,761
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",MANAGEMENT,PG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,762
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,763
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,PG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,764
2016-2017,1-2814387378,JASDEV SINGH SANDHU INSTITUTE OF ENGINEERING & TECHNOLOGHY,"JSS CAMPUS,
PATIALA-RAJPURA ROAD
KAULI, PATIALA",ENGINEERING AND TECHNOLOGY,PG,North-West,Punjab,PATIALA,PATIALA,Unaided - Private,N,N,765
