ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2014-2015,1-2018383193,SARASWATI INSTITUTE OF TECHNOLOGY & MANAGEMENT,"MADHU VIHAR
LUCKNOW KANPUR HIGHWAY NH 25
KUSHERI, ASHAKHERA
TEHSIL- HASANGANJ
DISTT- UNNAO",MANAGEMENT,PG,Northern,Uttar Pradesh,UNNAO,UNNAO,Unaided - Private,N,"N",317
2014-2015,1-2016432786,"INSTITUTE OF TECHNOLOGY AND MANAGEMENT, BHILWARA","NH.79, BHILWARA CHITTOR BY PASS, CHITTOR ROAD, 
BHILWARA",MCA,PG,North-West,Rajasthan,BHILWARA,BHILWARA,Unaided - Private,N,"N",318
2014-2015,1-2018383193,SARASWATI INSTITUTE OF TECHNOLOGY & MANAGEMENT,"MADHU VIHAR
LUCKNOW KANPUR HIGHWAY NH 25
KUSHERI, ASHAKHERA
TEHSIL- HASANGANJ
DISTT- UNNAO",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,UNNAO,UNNAO,Unaided - Private,N,"N",319
2014-2015,1-2018958177,JOGINPALLY M N RAO WOMENS ENGINEERING COLLEGE,"AMDAPUR X ROAD, YENKAPALLY(V), HIMAYATH NAGAR(POST),MOINABAD(M), ANDHRA PRADESH(STATE),SOUTH INDIA.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,MOINABAD,Unaided - Private,Y,"N",320
2014-2015,1-2018385159,SARASWATI INSTITUTE OF BUSINESS MANAGEMENT AND RESEARCH,"MADHU VIHAR,
632, PO ASHAKHERA
TEHSIL HASAN GANJ
LUCKNOW KANPUR HIGHWAY
UNNAO-209859",MANAGEMENT,PG,Northern,Uttar Pradesh,UNNAO,UNNAO,Unaided - Private,N,"N",321
2014-2015,1-2018974746,ITM BUSINESS SCHOOL,"ITM BUSINESS SCHOOL   PLOT NO 184,  NFC NAGAR,GHATKESAR(VILLLAGE&MANDAL), RANGA REDDY (DIST) ANDHRA PRADESH( STATE)PIN â€“ 501 301",MANAGEMENT,PG,South-Central,Telangana,HYDERABAD,GHATEKSAR,Unaided - Private,N,"N",322
2014-2015,1-2019694537,KITE WOMEN'S COLLEGE OF PROFESSIONAL ENGINEERING SCIENCES,"SHABAD, RANGA REDDY DISTRICT - 509217
ANDHRA PRADESH, INDIA",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,SHABAD,Unaided - Private,Y,"N",323
2015-2016,1-2451295651,ORIENTAL ENGINEERING COLLEGE,KATNI BY PASS ROAD VILLAGE ANDHUA DITT. JABALPUR (M.P.),ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,JABALPUR,JABALPUR,Unaided - Private,N,"N",324
2015-2016,1-2452831509,FUTURE BUSINESS SCHOOL,"SONARPUR STATION ROAD,
KOLKATA",MANAGEMENT,PG,Eastern,West Bengal,KOLKATA,KOLKATA,Unaided - Private,N,"N",325
2015-2016,1-2452823381,KPR SCHOOL OF BUSINESS,"SF. NO: 204/4, KOLLUPALAYAM VILLAGE,
ARASUR, COIMBATORE - 641407",MANAGEMENT,PG,Southern,Tamil Nadu,COIMBATORE,COIMBATORE,Unaided - Private,N,"N",326
2015-2016,1-2452407883,SENGUNTHAR B-SCHOOL FOR WOMEN,"SATHINAICKAN PALAYAM (PO),
TIRUCHENGODE TK
NAMAKKAL DT
PIN: 637205",MANAGEMENT,PG,Southern,Tamil Nadu,NAMAKKAL,TIRUCHENGODE,Unaided - Private,Y,"N",327
2015-2016,1-2452431107,ARUL COLLEGE OF TECHNOLOGY,"RADHAPURAM,
TIRUNELVELI.",ENGINEERING AND TECHNOLOGY,UG,Southern,Tamil Nadu,TIRUNELVELI,RADHAPURAM/TIRUNELVELI,Unaided - Private,N,"Y",328
2015-2016,1-2452431107,ARUL COLLEGE OF TECHNOLOGY,"RADHAPURAM,
TIRUNELVELI.",ENGINEERING AND TECHNOLOGY,PG,Southern,Tamil Nadu,TIRUNELVELI,RADHAPURAM/TIRUNELVELI,Unaided - Private,N,"Y",329
2015-2016,1-2453456101,SRI PRAKASH COLLEGE OF TECHNOLOGY,"D.B.V.RAJU TOWNSHIP
DIWANCHERUVU
RAJAHMUNDRY",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,EAST GODAVARI,RAJAHMUNDRY,Unaided - Private,N,"N",330
2015-2016,1-2453098601,MERCHANT POLYTECHNIC,"MEHSANA - VISNAGAR HIGHWAY,
AT & PO. BASNA,
TA. VISNAGAR.
DIST. MEHSANA
NORTH GUJARAT,
PINCODE 384315",ENGINEERING AND TECHNOLOGY,DIPLOMA,Central,Gujarat,MEHSANA,BASNA,Unaided - Private,N,"N",331
2015-2016,1-2453099084,IMT GROUP OF INSTITUTIONS,"RAI, BADAGAON ROAD",ENGINEERING AND TECHNOLOGY,UG,Central,Madhya Pradesh,GWALIOR,GWALIOR,Unaided - Private,N,"N",332
2015-2016,1-2522350589,DESH BHAGAT INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY,"VILLAGE-SAUNTI, AMLOH ROAD, MANDI GOBINDGARH,
 DISTT- FATEHGARH SAHIB-147301",HOTEL MANAGEMENT AND CATERING,UG,North-West,Punjab,FATEHGARH SAHIB,MANDI GOBINDGARH,Unaided - Private,N,"N",333
2015-2016,1-2518273436,SAMARTH INSTITUTE OF MANAGEMENT,"SAMARTH CAMPUS, OPP. SABAR DAIRY, NH-8, HAJIPUR, HIMATNAGAR",MANAGEMENT,PG,Central,Gujarat,SABARKANTHA,HIMATNAGAR,Unaided - Private,N,"N",334
2015-2016,1-2449889820,DURGAPUR INSTITUTE OF MANAGEMENT AND SCIENCE,"SHAHID SUKUMAR BANERJEE SARANI, BIDHANNAGAR, DURGAPUR,
WEST BENGAL, PIN - 713212",MANAGEMENT,PG,Eastern,West Bengal,BARDHAMAN,DURGAPUR,Unaided - Private,N,"N",335
2015-2016,1-2455932924,BANGALORE INSTITUTE OF INTERNATIONAL MANAGEMENT,"#76/6,VALAGERAHALLI,OPP.R.V.ENGG COLLEGE,MYSORE ROAD,BANGALORE",MANAGEMENT,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,"N",336
2015-2016,1-2452497889,INFANT JESUS COLLEGE OF ENGINEERING AND TECHNOLOGY,"KAMARAJAR NAGAR, TIRNELVELI - THOOTHUKUDI HOGHWAY (NH-7A),
KEELAVALLANADU VILLAGE,
ELLANAYAKAN PATTI POST,
SRIVAIKUNDAM TALUK,
THOOTHUKUDI DISTRICT.
PIN CODE - 628 851",ENGINEERING AND TECHNOLOGY,UG,Southern,Tamil Nadu,THOOTHUKUDI,THOOTHUKUDI,Unaided - Private,N,"Y",337
2015-2016,1-2452497889,INFANT JESUS COLLEGE OF ENGINEERING AND TECHNOLOGY,"KAMARAJAR NAGAR, TIRNELVELI - THOOTHUKUDI HOGHWAY (NH-7A),
KEELAVALLANADU VILLAGE,
ELLANAYAKAN PATTI POST,
SRIVAIKUNDAM TALUK,
THOOTHUKUDI DISTRICT.
PIN CODE - 628 851",ENGINEERING AND TECHNOLOGY,PG,Southern,Tamil Nadu,THOOTHUKUDI,THOOTHUKUDI,Unaided - Private,N,"Y",338
2015-2016,1-2453099084,IMT GROUP OF INSTITUTIONS,"RAI, BADAGAON ROAD",ARCHITECTURE AND TOWN PLANNING,UG,Central,Madhya Pradesh,GWALIOR,GWALIOR,Unaided - Private,N,"N",339
2015-2016,1-2453101628,DIVABA INSTITUTE OF MANAGEMENT & COMPUTER APPLICATION (DIMCA),"VILLEGE ANASAN, TA - DASCROI",MANAGEMENT,PG,Central,Gujarat,AHMEDABAD,"NARODA- DEHGAM ROAD, ANANSAN,NR.  AHMEDABAD-30",Unaided - Private,N,"N",340
2015-2016,1-2450990393,ANNAMACHARYA PG COLLEGE OF MANAGEMENT STUDIES,"NEW BOYANAPALLI
THALLAPAKA PANCHAYATH
RAJAMPET MANDAL
KADAPA DISTRICT",MANAGEMENT,PG,South-Central,Andhra Pradesh,YSR DISTRICT,RAJAMPET,Unaided - Private,N,"N",341
2015-2016,1-2451700017,GANDHI INSTITUTE OF INDUSTRIAL TECHNOLOGY,"GOLANTHARA, KANISI,
BRAHMAPUR-761008
GANJAM
ORISSA",ENGINEERING AND TECHNOLOGY,UG,Eastern,Odisha,GANJAM,BRAHMAPUR,Unaided - Private,N,"N",342
2015-2016,1-2451700017,GANDHI INSTITUTE OF INDUSTRIAL TECHNOLOGY,"GOLANTHARA, KANISI,
BRAHMAPUR-761008
GANJAM
ORISSA",ENGINEERING AND TECHNOLOGY,PG,Eastern,Odisha,GANJAM,BRAHMAPUR,Unaided - Private,N,"N",343
2015-2016,1-2451702481,BHADRAK INSTITUTE OF ENGINEERING AND TECHNOLOGY,"AT/PO-BARAPADA
DIST-BHADRAK
ORISSA 756113",MCA,PG,Eastern,Odisha,BHADRAK,BHADRAK,Unaided - Private,N,"N",344
2015-2016,1-2451082856,RAJOLI VEERA REDDY PADMAJA ENGINEERING COLLEGE FOR WOMEN,"PULIVENDULA ROAD, TADIGOTLA VILLAGE, C.K.DINNIE MANDAL,
KADAPA",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,Y,"N",345
2015-2016,1-2451082856,RAJOLI VEERA REDDY PADMAJA ENGINEERING COLLEGE FOR WOMEN,"PULIVENDULA ROAD, TADIGOTLA VILLAGE, C.K.DINNIE MANDAL,
KADAPA",ENGINEERING AND TECHNOLOGY,PG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,Y,"N",346
2015-2016,1-2451087435,BANDARI SRINIVAS COLLEGE OF ENGINEERING AND TECHNOLOGY,GOLLAPALLY VILLAGE,ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,CHEVELLA,Unaided - Private,N,"N",347
2015-2016,1-2454310023,SEVA RATHNA VALLAL RCK COLLEGE OF ENGINEERING,"VALLAL RCK NAGAR, 
VENGAL THIRUVALLUR TALUK AND DISTRICT",ENGINEERING AND TECHNOLOGY,UG,Southern,Tamil Nadu,THIRUVALLUR,THIRUVALLUR,Unaided - Private,N,"N",348
2015-2016,1-2454310023,SEVA RATHNA VALLAL RCK COLLEGE OF ENGINEERING,"VALLAL RCK NAGAR, 
VENGAL THIRUVALLUR TALUK AND DISTRICT",MANAGEMENT,PG,Southern,Tamil Nadu,THIRUVALLUR,THIRUVALLUR,Unaided - Private,N,"N",349
2015-2016,1-2454417766,SHRI SIVASUBRMANIAM NADAR COLLEGE OF ENGINEERING,"RAJIV GANDHI SALAI (OMR)
KALAVAKKAM - 603110
KANCHIPURAM DIST",MCA,PG,Southern,Tamil Nadu,KANCHIPURAM,KALAVAKKAM,Unaided - Private,N,"N",350
2015-2016,1-2454333052,VIVEKANANDHA ENGINEERING COLLEGE FOR WOMEN,"NH-47,SALEM-KOVAI EXPRESS HIGH WAY,
VEERACHIPALAYAM,
SANKARI WEST POST,
SANKARI TALUK,
SALEM DISTRICT,
TAMILNADU PIN 637 303",ENGINEERING AND TECHNOLOGY,UG,Southern,Tamil Nadu,SALEM,VEERACHIPALAYAM,Unaided - Private,Y,"N",351
2015-2016,1-2454333052,VIVEKANANDHA ENGINEERING COLLEGE FOR WOMEN,"NH-47,SALEM-KOVAI EXPRESS HIGH WAY,
VEERACHIPALAYAM,
SANKARI WEST POST,
SANKARI TALUK,
SALEM DISTRICT,
TAMILNADU PIN 637 303",ENGINEERING AND TECHNOLOGY,PG,Southern,Tamil Nadu,SALEM,VEERACHIPALAYAM,Unaided - Private,Y,"N",352
2015-2016,1-2460099205,PES INSTITUTE OF TECHNOLOGY,"100 FEET RING ROAD,BSK 3RD STAGE",ENGINEERING AND TECHNOLOGY,UG,South-West,Karnataka,BANGALORE URBAN,BENGALURU,Unaided - Private,N,"N",353
2015-2016,1-2460099205,PES INSTITUTE OF TECHNOLOGY,"100 FEET RING ROAD,BSK 3RD STAGE",ENGINEERING AND TECHNOLOGY,PG,South-West,Karnataka,BANGALORE URBAN,BENGALURU,Unaided - Private,N,"N",354
2015-2016,1-2455078172,IAMR COLLEGE OF ENGINEERING,"12TH KM STONE,
MEERUT-BAGPAT ROAD,
PANCHIL KHURD,
MEERUT, INDIA",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,MEERUT,MEERUT,Unaided - Private,N,"N",355
2015-2016,1-2455078172,IAMR COLLEGE OF ENGINEERING,"12TH KM STONE,
MEERUT-BAGPAT ROAD,
PANCHIL KHURD,
MEERUT, INDIA",ENGINEERING AND TECHNOLOGY,DIPLOMA,Northern,Uttar Pradesh,MEERUT,MEERUT,Unaided - Private,N,"N",356
2015-2016,1-2518263050,WARDHAMAN BAHUUDDESHIYA SANSTHA INSTITUTE FOR MANAGEMENT AND RESEARCH,"KHASARA NO. 180, GHORPAD (SHIRPUR), KAMPTEE, NAGPUR",MANAGEMENT,PG,Western,Maharashtra,NAGPUR,KAMPTEE,Unaided - Private,N,"Y",357
2015-2016,1-2518263050,WARDHAMAN BAHUUDDESHIYA SANSTHA INSTITUTE FOR MANAGEMENT AND RESEARCH,"KHASARA NO. 180, GHORPAD (SHIRPUR), KAMPTEE, NAGPUR",MCA,PG,Western,Maharashtra,NAGPUR,KAMPTEE,Unaided - Private,N,"Y",358
2015-2016,1-2512002857,DILKAP RESEARCH CENTRE AND INSTITUTE OF MANAGEMENT STUDIES,VILLAGE MAMDAPUR POST NERAL TAL. KARJAT DIST. RAIGAD,MANAGEMENT,PG,Western,Maharashtra,RAIGAD,NERAL,Unaided - Private,N,"N",359
2015-2016,1-2454849422,IIMT PROFESSIONAL COLLEGE,"'O' POCKET, GANGA NAGAR, MEERUT",MANAGEMENT,PG,Northern,Uttar Pradesh,MEERUT,MEERUT,Unaided - Private,N,"N",360
2015-2016,1-2454806644,IIMT COLLEGE OF MANAGEMENT,"PLOT NO A-20, KP- III, GREATER NOIDA",MANAGEMENT,PG,Northern,Uttar Pradesh,GAUTAM BUDDHA NAGAR,GREATER NOIDA,Unaided - Private,N,"N",361
2015-2016,1-2454797648,SATYAM COLLEGE OF MANAGEMENT,"VILL. - MUKIMPUR, P.O. - PILKHUWA,
NEAR RAILWAY STATION, PILKHUWA, NH - 24
GHAZIABAD - 245304",MANAGEMENT,PG,Northern,Uttar Pradesh,GHAZIABAD,MUKIMPUR/PILKHUWA,Unaided - Private,N,"N",362
2015-2016,1-2454743861,INDERPRASTHA INSTITUTE OF MANAGEMENT AND TECHNOLOGY BULANDSHAHAR,"SIKANDRABAD KHURJA ROAD, ROOPVAS PANCHGAYI",ENGINEERING AND TECHNOLOGY,DIPLOMA,Northern,Uttar Pradesh,BULANDSHAHAR,ROOPVAS PANCHGAYI,Unaided - Private,N,"N",363
2015-2016,1-2454763329,SATYAM COLLEGE OF ENGINEERING,"VILL. - MUKIMPUR, P.O. - PILKHUWA
NEAR RAILWAY STATION, PILKHUWA, NH-24,
GHAZIABAD",ENGINEERING AND TECHNOLOGY,DIPLOMA,Northern,Uttar Pradesh,GHAZIABAD,MUKIMPUR/PILKHUWA,Unaided - Private,N,"N",364
2015-2016,1-2454763329,SATYAM COLLEGE OF ENGINEERING,"VILL. - MUKIMPUR, P.O. - PILKHUWA
NEAR RAILWAY STATION, PILKHUWA, NH-24,
GHAZIABAD",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,GHAZIABAD,MUKIMPUR/PILKHUWA,Unaided - Private,N,"N",365
2015-2016,1-2454971254,S. D.INSTITUTE OF PROFESSIONAL STUDIES,"MANDI SAMITI ROAD

 MUZAFFARNAGAR 251001",MANAGEMENT,PG,Northern,Uttar Pradesh,MUZAFFARNAGAR,MUZAFFARNAGAR,Unaided - Private,N,"N",366
2015-2016,1-2454655457,GURGAON COLLEGE OF ENGG. FOR WOMEN,"BILASPUR TAURU ROAD, GURAGON",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,GURGAON,GURAGON,Unaided - Private,Y,"N",367
2015-2016,1-2454446229,MAHARISHI MARKANDESHWAR TECHNICAL CAMPUS,"VILLAGE - LADDO, KUMARHATTI, SULTANPUR ROAD, SOLAN (HP)",ENGINEERING AND TECHNOLOGY,UG,North-West,Himachal Pradesh,SOLAN,LADDO,Unaided - Private,N,"N",368
2015-2016,1-2454446229,MAHARISHI MARKANDESHWAR TECHNICAL CAMPUS,"VILLAGE - LADDO, KUMARHATTI, SULTANPUR ROAD, SOLAN (HP)",MANAGEMENT,PG,North-West,Himachal Pradesh,SOLAN,LADDO,Unaided - Private,N,"N",369
2015-2016,1-2454616162,TEK CHAND MANN COLLEGE OF ENGINEERING,"64TH KM MILES STONE, NH-1, VILLAGE-CHIRASHME,GANNAUR, DISTT.- SONEPAT (HARYANA)",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,SONEPAT,GANNAUR,Unaided - Private,N,"N",370
2015-2016,1-2454616162,TEK CHAND MANN COLLEGE OF ENGINEERING,"64TH KM MILES STONE, NH-1, VILLAGE-CHIRASHME,GANNAUR, DISTT.- SONEPAT (HARYANA)",MANAGEMENT,PG,North-West,Haryana,SONEPAT,GANNAUR,Unaided - Private,N,"N",371
2015-2016,1-2454694971,MAHARISHI MARKANDESHWAR GROUP OF INSTITUTIONS,"VILLAGE RAMBA, INDRI ROAD",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,KARNAL,RAMBA,Unaided - Private,N,"N",372
2015-2016,1-2454694971,MAHARISHI MARKANDESHWAR GROUP OF INSTITUTIONS,"VILLAGE RAMBA, INDRI ROAD",MANAGEMENT,PG,North-West,Haryana,KARNAL,RAMBA,Unaided - Private,N,"N",373
2015-2016,1-2454699584,GALAXY GLOBAL IMPERIAL TECHNICAL CAMPUS,"SAHA-SHAHABAD ROAD, VILLAGE DINARPUR, SUB TEHSIL SAHA, DISTT. AMBALA",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,AMBALA,DINARPUR,Unaided - Private,N,"N",374
2015-2016,1-2454453397,DORAHA INSITUTE OF MANAGEMENT & TECHNOLOGY,"G.T. ROAD, DORAHA, DISTT. LUDHIANA",MANAGEMENT,PG,North-West,Punjab,LUDHIANA,DORAHA,Unaided - Private,N,"N",375
2015-2016,1-2454453513,ASIAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"VILLAGE DHAURANG, DISTRICT- YAMUNANAGAR,TEHSIL-JAGADHARI",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,YAMUNA NAGAR,YAMUNANAGAR,Unaided - Private,N,"N",376
2015-2016,1-2454453513,ASIAN INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"VILLAGE DHAURANG, DISTRICT- YAMUNANAGAR,TEHSIL-JAGADHARI",MANAGEMENT,PG,North-West,Haryana,YAMUNA NAGAR,YAMUNANAGAR,Unaided - Private,N,"N",377
2015-2016,1-2454348027,KANTA POLYTECHNIC,"V.P.O. CHALWARA, TEHSIL JAWALI, DISTT. KANGRA, H.P. 176023",ENGINEERING AND TECHNOLOGY,DIPLOMA,North-West,Himachal Pradesh,KANGRA,CHALWARA NEAR JAWALI,Unaided - Private,N,"N",378
2015-2016,1-2453417021,KOHINOOR BUSINESS SCHOOL AND CENTER FOR MANAGEMENT RESEARCH,"SURVEY NO. 29,
CITY SURVEY NO. 627, SUB DIVISION - B
TALUKA - MAVAL
OLD MUMBAI - PUNE HIGHWAY
KHANDALA - 410 301  DIST: PUNE
MAHARASHTRA",MANAGEMENT,PG,Western,Maharashtra,PUNE,KHANDALA,Unaided - Private,N,"N",379
2015-2016,1-2453968650,INSTITUTE OF INFRASTRUCTURE STUDIES AND CONSTRUCTION MANAGEMENT,"AT 116/3,AMBI, TAL-MAVAL, DIST-PUNE",MANAGEMENT,PG,Western,Maharashtra,PUNE,AMBI,Unaided - Private,N,"N",380
2015-2016,1-2453019925,RAVI SHANKAR BUSINESS SCHOOL,"NEAR MUKTANGAN, CHAMPARAN ROAD, NEW RAIPUR (C.G.)",MANAGEMENT,PG,Central,Chhattisgarh,RAIPUR,NEW RAIPUR,Unaided - Private,N,"N",381
2015-2016,1-2521696771,ST.FRANCIS XAVIER COLLEGE OF COMPUTER SCIENCES,"SY.NO.273/2,
KUNTLOOR (VILLAGE)
HAYATH NAGAR (MANDAL)
RANGA REDDY (DISTRICT)",MCA,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",382
2015-2016,1-2455895972,PES INSTITUTE OF TECHNOLOGY MBA,"100 FEET RING ROAD,BSK 3RD STAGE",MANAGEMENT,PG,South-West,Karnataka,BANGALORE URBAN,BENGALURU,Unaided - Private,N,"N",383
2015-2016,1-2499753497,GAYATRI INSTITUTTE OF PHARMACEUTICAL SCIENCE AND RESEARCH CENTRE,"SY.NO.33&463,. FAROOQNAGAR. (V & M), NAGULAPALLY ROAD, SHADNAGAR, MAHABUBNAGAR DIST-509216",PHARMACY,UG,South-Central,Telangana,MAHABUBNAGAR,SHADNAGAR,Unaided - Private,N,"N",384
2015-2016,1-2499753497,GAYATRI INSTITUTTE OF PHARMACEUTICAL SCIENCE AND RESEARCH CENTRE,"SY.NO.33&463,. FAROOQNAGAR. (V & M), NAGULAPALLY ROAD, SHADNAGAR, MAHABUBNAGAR DIST-509216",PHARMACY,PG,South-Central,Telangana,MAHABUBNAGAR,SHADNAGAR,Unaided - Private,N,"N",385
2015-2016,1-2451113148,INDIRA PRIYADARSHINI COLLEGE OF ENGG AND TECH FOR WOMEN,"NANNUR (V),ORVAKAL (M),
KURNOOL(DIST)-518 002",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,KURNOOL,KURNOOL,Unaided - Private,Y,"N",386
2015-2016,1-2451113148,INDIRA PRIYADARSHINI COLLEGE OF ENGG AND TECH FOR WOMEN,"NANNUR (V),ORVAKAL (M),
KURNOOL(DIST)-518 002",MANAGEMENT,PG,South-Central,Andhra Pradesh,KURNOOL,KURNOOL,Unaided - Private,Y,"N",387
2015-2016,1-2451113148,INDIRA PRIYADARSHINI COLLEGE OF ENGG AND TECH FOR WOMEN,"NANNUR (V),ORVAKAL (M),
KURNOOL(DIST)-518 002",ENGINEERING AND TECHNOLOGY,PG,South-Central,Andhra Pradesh,KURNOOL,KURNOOL,Unaided - Private,Y,"N",388
2015-2016,1-2504225881,SUBHASH KOOL COLLEGE OF ENGINEERING,"S.NO.-30,42/2,47,A/P:-KEDGAON",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,PUNE,KEDGAON,Unaided - Private,N,"N",389
2015-2016,1-2455107505,KRISHNA INSTITUTE OF MANAGEMENT & TECHNOLOGY MORADABAD,"N.H.24 , RAMPUR ROAD,
VILL. BHANSIYA
MORADABAD",ENGINEERING AND TECHNOLOGY,UG,Northern,Uttar Pradesh,MORADABAD,MORADABAD,Unaided - Private,N,"N",390
2015-2016,1-2455107505,KRISHNA INSTITUTE OF MANAGEMENT & TECHNOLOGY MORADABAD,"N.H.24 , RAMPUR ROAD,
VILL. BHANSIYA
MORADABAD",MANAGEMENT,PG,Northern,Uttar Pradesh,MORADABAD,MORADABAD,Unaided - Private,N,"N",391
2015-2016,1-2452427573,TERNA POLYTECHNIC,"SECTOR-1, KOPARKHIARNE, NAVI MUMBAI",ENGINEERING AND TECHNOLOGY,DIPLOMA,Western,Maharashtra,THANE,NAVI MUMBAI,Unaided - Private,N,"N",392
2015-2016,1-2452746217,SHREE MUKUNDLAL VITTHALDAS SHAH PHARMACY COLLEGE,"NEAR BHAGYODAY HOTEL,
MODASA-SHAMALAJI HIGHWAY,
AT.- GAJAN,
TA.- MODASA,
DIST.- SABARKANTHA,
GUJARAT, INDIA.",PHARMACY,UG,Central,Gujarat,SABARKANTHA,GAJAN,Unaided - Private,N,"N",393
2015-2016,1-2453922868,SHANKARLAL AGRAWAL COLLEGE OF MANAGEMENT STUDIES,"SURYATOLA,
GONDIA - 441614
MAHARASHTRA",MANAGEMENT,PG,Western,Maharashtra,GONDIA,GONDIA,Unaided - Private,N,"N",394
2015-2016,1-2452505094,DR D.Y. PATIL INSTITUTE OF MANAGEMENT AND RESEARCH CENTRE,":  MUNSHI VIDYADHAM, DAHEJ BYPASS ROAD, BHARUCH",MANAGEMENT,PG,Central,Gujarat,BHARUCH,BHARUCH,Unaided - Private,N,"Y",395
2015-2016,1-2454616162,TEK CHAND MANN COLLEGE OF ENGINEERING,"64TH KM MILES STONE, NH-1, VILLAGE-CHIRASHME,GANNAUR, DISTT.- SONEPAT (HARYANA)",ENGINEERING AND TECHNOLOGY,DIPLOMA,North-West,Haryana,SONEPAT,GANNAUR,Unaided - Private,N,"N",396
2015-2016,1-2454616162,TEK CHAND MANN COLLEGE OF ENGINEERING,"64TH KM MILES STONE, NH-1, VILLAGE-CHIRASHME,GANNAUR, DISTT.- SONEPAT (HARYANA)",ENGINEERING AND TECHNOLOGY,PG,North-West,Haryana,SONEPAT,GANNAUR,Unaided - Private,N,"N",397
2015-2016,1-2454727539,PDM COLLEGE OF ENGINEERING & TECHNOLOGY,"VILLAGE SARAI AURANGABAD, BAHADURGARH
DISTT. JHAJJAR (HARYANA)",ENGINEERING AND TECHNOLOGY,UG,North-West,Haryana,JHAJJAR,BAHADURGARH,Unaided - Private,N,"N",398
2015-2016,1-2454727539,PDM COLLEGE OF ENGINEERING & TECHNOLOGY,"VILLAGE SARAI AURANGABAD, BAHADURGARH
DISTT. JHAJJAR (HARYANA)",ENGINEERING AND TECHNOLOGY,PG,North-West,Haryana,JHAJJAR,BAHADURGARH,Unaided - Private,N,"N",399
2015-2016,1-2454378261,"INTERNATIONAL INSTITUTE OF MANAGEMENT, ENGINEERING & TECHNOLOGY","ISI- 11,
INSTITUTIONAL AREA, SITAPURA
JAIPUR-302022",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",400
2015-2016,1-2454473790,SCHOOL OF PG ENGINEERING,"SOLDHA, BAHADURGARH-BADLI ROAD, BAHADURGARH, HARYANA",ENGINEERING AND TECHNOLOGY,PG,North-West,Haryana,JHAJJAR,SOLDHA,Unaided - Private,N,"N",401
2015-2016,1-2454002393,BAJAJ ENGINEERING COLLEGE,"VILLAGE:GUREH, FEROZEPUR ROAD, LUDHIANA",ENGINEERING AND TECHNOLOGY,UG,North-West,Punjab,LUDHIANA,GUREH,Unaided - Private,N,"N",402
2015-2016,1-2487265237,KEC SCHOOL OF MANAGEMENT,"95, LONI ROAD",MANAGEMENT,PG,Northern,Uttar Pradesh,GHAZIABAD,MOHAN NAGAR,Unaided - Private,N,"N",403
2015-2016,1-2453492661,SINHGAD INSTITUTE OF COMPUTER SCIENCES,"AT POST KORTI, TALUKA PANDHARPUR, PANDHARPUR - KARAD ROAD, DIST SOLAPUR -413304",MCA,PG,Western,Maharashtra,SOLAPUR,PANDHARPUR,Unaided - Private,N,"N",404
2015-2016,1-2453901975,NOBLE INSTITUTE OF SCIENCE AND TECHNOLOGY,MANTHRIPALEM,MCA,PG,South-Central,Andhra Pradesh,VISHAKHAPATNAM,VISAKHAPATNAM,Unaided - Private,N,"N",405
2015-2016,1-2453901975,NOBLE INSTITUTE OF SCIENCE AND TECHNOLOGY,MANTHRIPALEM,MANAGEMENT,PG,South-Central,Andhra Pradesh,VISHAKHAPATNAM,VISAKHAPATNAM,Unaided - Private,N,"N",406
