state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female
08,RAJASTHAN,71,21,Ajmer (M Corp.),"542,580","278,786","263,794","59,437","31,547","27,890","422,913","230,586","192,327",946,884,87.53,93.26,81.53
08,RAJASTHAN,71,21,Beawar (M Cl),"145,809","74,946","70,863","17,709","9,419","8,290","110,111","61,229","48,882",946,880,85.96,93.44,78.12
08,RAJASTHAN,7,21,Kishangarh (M Cl),"155,019","80,343","74,676","21,765","11,602","10,163","106,809","61,313","45,496",929,876,80.15,89.19,70.52
08,RAJASTHAN,7,22,Tonk (M Cl),"165,363","84,927","80,436","23,122","12,280","10,842","98,819","57,170","41,649",947,883,69.47,78.70,59.85
08,RAJASTHAN,71,23,Bundi (M),"102,823","53,299","49,524","12,047","6,419","5,628","75,482","42,642","32,840",929,877,83.15,90.96,74.81
08,RAJASTHAN,7,24,Bhilwara (M Cl),"360,009","187,952","172,057","45,832","24,215","21,617","264,762","150,306","114,456",915,893,84.27,91.80,76.08
08,RAJASTHAN,71,27,Banswara (M),"100,128","51,240","48,888","12,244","6,602","5,642","76,438","41,404","35,034",954,855,86.98,92.76,81.01
08,RAJASTHAN,7,28,Chittaurgarh (M),"116,409","60,229","56,180","14,067","7,473","6,594","86,945","48,624","38,321",933,882,84.96,92.17,77.28
08,RAJASTHAN,7,29,Kota (M Corp.),"1,001,365","529,795","471,570","118,139","62,958","55,181","738,795","422,767","316,028",890,876,83.65,90.56,75.90
08,RAJASTHAN,7,30,Baran (M),"118,157","61,360","56,797","14,845","7,842","7,003","83,879","48,209","35,670",926,893,81.19,90.08,71.64
08,RAJASTHAN,71,32,Udaipur (M Cl),"451,735","234,681","217,054","47,352","25,338","22,014","366,598","200,051","166,547",925,869,90.66,95.56,85.39
09,UTTAR PRADESH,7,01,Saharanpur (M Corp.),"703,345","371,858","331,487","88,501","47,024","41,477","479,218","265,417","213,801",891,882,77.94,81.71,73.72
09,UTTAR PRADESH,7,02,Shamli (NPP),"107,233","57,236","49,997","13,724","7,634","6,090","76,650","43,469","33,181",874,798,81.97,87.64,75.57
09,UTTAR PRADESH,71,02,Muzaffarnagar (NPP),"392,451","206,902","185,549","48,692","26,401","22,291","278,405","154,902","123,503",897,844,80.99,85.82,75.65
09,UTTAR PRADESH,7,04,Moradabad (M Corp.),"889,810","466,432","423,378","110,376","57,999","52,377","550,637","302,447","248,190",908,903,70.65,74.05,66.90
09,UTTAR PRADESH,7,04,Sambhal (NPP),"221,334","116,008","105,326","34,279","17,702","16,577","92,608","51,382","41,226",908,936,49.51,52.27,46.45
09,UTTAR PRADESH,7,04,Chandausi (NPP),"114,254","60,238","54,016","14,417","7,730","6,687","72,515","40,323","32,192",897,865,72.63,76.79,68.02
09,UTTAR PRADESH,71,05,Rampur (NPP),"325,248","169,826","155,422","37,945","19,736","18,209","174,508","95,157","79,351",915,923,60.74,63.40,57.83
09,UTTAR PRADESH,7,06,Amroha (NPP),"197,135","102,804","94,331","26,855","13,799","13,056","108,772","60,621","48,151",918,946,63.88,68.11,59.24
09,UTTAR PRADESH,71,07,Meerut (M Corp.),"1,309,023","689,567","619,456","163,910","88,567","75,343","889,729","499,928","389,801",898,851,77.70,83.18,71.64
09,UTTAR PRADESH,7,08,Baraut (NPP),"102,733","54,521","48,212","13,536","7,387","6,149","69,559","39,900","29,659",884,832,77.98,84.65,70.51
09,UTTAR PRADESH,71,09,Modinagar (NPP),"130,161","69,179","60,982","14,181","7,975","6,206","104,383","58,282","46,101",882,778,90.00,95.23,84.16
09,UTTAR PRADESH,71,09,Loni (NPP),"512,296","273,859","238,437","76,231","40,450","35,781","328,096","194,048","134,048",871,885,75.24,83.14,66.15
09,UTTAR PRADESH,81,09,Khora (CT),"189,410","102,669","86,741","26,599","14,350","12,249","140,013","82,194","57,819",845,854,86.00,93.06,77.62
09,UTTAR PRADESH,7,09,Hapur (NPP),"262,801","139,694","123,107","36,714","19,822","16,892","170,325","98,394","71,931",881,852,75.34,82.08,67.72
09,UTTAR PRADESH,8,10,Noida (CT),"642,381","352,577","289,804","83,530","44,493","39,037","495,045","286,216","208,829",822,877,88.58,92.90,83.28
09,UTTAR PRADESH,8,10,Greater Noida (CT),"107,676","58,662","49,014","15,517","8,512","7,005","79,757","45,878","33,879",836,823,86.54,91.48,80.65
09,UTTAR PRADESH,71,11,Bulandshahr (NPP),"222,826","116,923","105,903","28,936","15,892","13,044","153,135","86,408","66,727",906,821,78.98,85.53,71.86
09,UTTAR PRADESH,71,11,Khurja (NPP),"111,089","58,577","52,512","15,510","8,502","7,008","64,643","37,048","27,595",896,824,67.63,73.99,60.64
09,UTTAR PRADESH,71,12,Aligarh (M Corp.),"872,575","463,123","409,452","113,658","60,620","53,038","533,969","303,886","230,083",884,875,70.36,75.50,64.55
09,UTTAR PRADESH,71,13,Hathras (NPP),"137,509","73,376","64,133","16,686","9,096","7,590","95,524","53,918","41,606",874,834,79.06,83.88,73.58
09,UTTAR PRADESH,71,14,Mathura (NPP),"349,336","186,586","162,750","41,888","22,536","19,352","235,976","134,597","101,379",872,859,76.75,82.05,70.70
09,UTTAR PRADESH,71,15,Agra (M Corp.),"1,574,542","849,771","724,771","186,516","105,279","81,237","880,530","503,805","376,725",853,772,63.44,67.67,58.54
09,UTTAR PRADESH,7,16,Firozabad (NPP),"603,797","321,624","282,173","82,439","43,543","38,896","365,347","208,434","156,913",877,893,70.08,74.95,64.50
09,UTTAR PRADESH,7,16,Shikohabad (NPP),"107,300","57,017","50,283","12,956","7,106","5,850","77,060","43,030","34,030",882,823,81.68,86.21,76.59
09,UTTAR PRADESH,71,17,Mainpuri (NPP),"117,327","61,481","55,846","14,300","7,735","6,565","88,548","48,215","40,333",908,849,85.95,89.71,81.84
09,UTTAR PRADESH,7,18,Budaun (NPP),"159,221","83,475","75,746","19,613","10,420","9,193","101,914","56,012","45,902",907,882,73.00,76.67,68.97
09,UTTAR PRADESH,71,19,Bareilly (M Corp.),"898,167","477,438","420,729","94,915","50,224","44,691","563,619","316,385","247,234",881,890,70.17,74.06,65.75
09,UTTAR PRADESH,71,20,Pilibhit (NPP),"130,428","68,855","61,573","11,767","6,138","5,629","88,119","48,060","40,059",894,917,74.26,76.63,71.61
09,UTTAR PRADESH,71,21,Shahjahanpur (NPP),"327,975","173,133","154,842","36,606","19,420","17,186","200,804","112,011","88,793",894,885,68.92,72.87,64.50
09,UTTAR PRADESH,71,22,Lakhimpur (NPP),"152,010","81,050","70,960","16,307","8,712","7,595","114,526","63,317","51,209",876,872,84.39,87.53,80.82
09,UTTAR PRADESH,71,23,Sitapur (NPP),"177,351","93,410","83,941","18,529","9,871","8,658","131,995","72,197","59,798",899,877,83.11,86.42,79.43
09,UTTAR PRADESH,71,24,Hardoi (NPP),"126,890","66,752","60,138","13,040","6,942","6,098","99,217","54,470","44,747",901,878,87.15,91.07,82.80
09,UTTAR PRADESH,7,25,Unnao (NPP),"178,681","94,080","84,601","18,604","9,949","8,655","134,018","73,411","60,607",899,870,83.72,87.26,79.80
